Period,consumer_sentiment,current_conditions,future_expectations,country_economic_conditions,city_economic_conditions,household_income,household_budget,discretionary_spending,household_spending,job_prospect,consumer_outlook,Country 
01/10/2023,-39,-63,-30,-62,-55,-64,93,-62,-62,-64,Negative,DRC
01/01/2022,18,-1,25,35,32,32,21,-4,7,1,Positive,Egypt
01/02/2022,-2,-25,8,-5,4,16,53,-46,-28,-5,Negative,Egypt
01/03/2022,14,-23,29,30,31,38,69,-36,-22,-9,Neutral,Egypt
01/04/2022,12,0,16,17,17,19,64,3,-35,-2,Neutral,Egypt
01/05/2022,22,6,28,25,25,34,50,17,8,-6,Positive,Egypt
01/06/2022,24,-1,34,35,33,38,37,1,27,-3,Positive,Egypt
01/07/2022,31,3,42,40,39,41,34,2,57,4,Positive,Egypt
01/08/2022,49,1,68,76,72,75,55,4,60,-2,Positive,Egypt
01/09/2022,45,3,62,70,69,70,36,15,67,-9,Positive,Egypt
01/10/2022,-13,-27,-7,-7,-9,-11,-3,-20,-6,-33,Negative,Egypt
01/11/2022,-21,-23,-20,-25,-28,-27,-6,-18,-13,-28,Negative,Egypt
01/12/2022,16,7,20,21,30,18,-2,28,31,-13,Positive,Egypt
01/01/2023,41,27,46,47,59,41,28,56,55,-2,Positive,Egypt
01/02/2023,-25,-55,-13,-7,-9,-1,-34,-31,-13,-78,Negative,Egypt
01/03/2023,38,1,53,42,45,43,65,3,71,-1,Positive,Egypt
01/04/2023,31,-11,48,25,28,46,52,-13,87,-9,Positive,Egypt
01/05/2023,39,-7,58,57,57,50,44,-9,80,-5,Positive,Egypt
01/06/2023,36,23,41,45,46,34,33,51,47,-5,Positive,Egypt
01/07/2023,-3,2,-5,-1,0,-30,-1,18,9,-15,Negative,Egypt
01/08/2023,65,39,76,75,80,75,80,77,69,1,Positive,Egypt
01/09/2023,25,22,27,28,26,28,25,52,28,-7,Positive,Egypt
01/10/2023,69,46,79,78,81,73,86,91,78,1,Positive,Egypt
01/06/2016,1,-24,11,-6,-2,3,17,2,42,-49,Neutral,Ghana
01/07/2016,-5,-34,6,-23,-20,-7,31,-17,49,-51,Negative,Ghana
01/08/2016,9,4,12,14,10,12,11,10,10,-2,Neutral,Ghana
01/09/2016,-2,-6,-1,-3,-3,-2,-2,-3,7,-9,Negative,Ghana
01/10/2016,2,-31,16,-1,3,11,11,6,54,-68,Neutral,Ghana
01/11/2016,9,-6,15,7,15,19,23,3,11,-14,Neutral,Ghana
01/12/2016,36,14,44,58,56,65,69,46,-26,-19,Positive,Ghana
01/01/2017,6,-4,11,13,12,14,15,8,-1,-17,Neutral,Ghana
01/02/2017,2,-4,5,0,1,6,11,6,4,-14,Neutral,Ghana
01/03/2017,33,11,42,34,46,64,79,48,-15,-27,Positive,Ghana
01/04/2017,34,20,39,33,33,61,82,65,-14,-25,Positive,Ghana
01/05/2017,44,19,54,40,45,80,89,62,19,-25,Positive,Ghana
01/06/2017,37,16,45,32,40,61,74,57,19,-26,Positive,Ghana
01/07/2017,28,14,33,15,21,45,75,52,10,-24,Positive,Ghana
01/08/2017,38,22,44,41,40,49,78,65,14,-22,Positive,Ghana
01/09/2017,37,24,42,39,45,40,80,69,7,-20,Positive,Ghana
01/10/2017,35,13,44,42,44,60,68,54,7,-28,Positive,Ghana
01/11/2017,12,3,15,-1,-1,35,48,22,-5,-16,Neutral,Ghana
01/12/2017,29,27,30,12,21,29,85,76,2,-22,Positive,Ghana
01/01/2018,25,7,33,14,25,43,77,44,3,-29,Positive,Ghana
01/02/2018,36,16,44,33,41,54,81,58,10,-26,Positive,Ghana
01/03/2018,31,22,35,28,30,38,75,60,2,-16,Positive,Ghana
01/04/2018,14,-6,22,15,19,31,53,22,-6,-34,Neutral,Ghana
01/05/2018,18,-14,31,0,43,0,43,14,71,-43,Positive,Ghana
01/06/2018,41,-17,64,85,81,74,30,30,52,-63,Positive,Ghana
01/07/2018,25,-30,48,73,73,78,11,-8,3,-51,Positive,Ghana
01/08/2018,26,8,33,33,33,17,50,25,33,-8,Positive,Ghana
01/09/2018,19,-17,33,100,33,0,33,0,0,-33,Positive,Ghana
01/10/2018,12,11,13,16,18,13,2,27,16,-4,Neutral,Ghana
01/11/2018,-3,1,-5,3,-2,-9,-10,4,-7,-2,Negative,Ghana
01/12/2018,-14,6,-21,-21,-16,-24,-21,-20,-24,32,Negative,Ghana
01/01/2019,-12,4,-18,-7,-22,-22,-23,-25,-18,33,Negative,Ghana
01/02/2019,-7,19,-17,-16,-24,-17,-15,-15,-13,54,Negative,Ghana
01/03/2019,-22,8,-34,-34,-32,-40,-25,-23,-42,39,Negative,Ghana
01/04/2019,-38,-14,-47,-40,-43,-45,-49,-58,-60,29,Negative,Ghana
01/05/2019,-12,15,-23,-21,-22,-17,-21,-4,-32,35,Negative,Ghana
01/06/2019,-37,-35,-38,-35,-31,-42,-34,-29,-47,-41,Negative,Ghana
01/07/2019,-34,-30,-35,-40,-28,-42,-26,-33,-39,-28,Negative,Ghana
01/08/2019,-34,-32,-35,-48,-43,-33,-29,-15,-25,-49,Negative,Ghana
01/09/2019,-33,-24,-36,-43,-42,-40,-31,-12,-23,-37,Negative,Ghana
01/10/2019,-32,-37,-30,-22,-33,-25,-37,-21,-35,-53,Negative,Ghana
01/11/2019,-30,-29,-30,-47,-40,-13,-27,-18,-22,-39,Negative,Ghana
01/12/2019,-16,-25,-12,-27,-19,1,-34,2,18,-51,Negative,Ghana
